SKU,Nombre_Producto ,categoria,PRECIO COMPRA,precio_venta,Margen($),Fecha Actualización,proveedor
AC-0047,"Flejes Titanio 41cm",Zinc,703,806.27,103.27,11/03/2024,"Industrias del Plata"
AL-0048,"  Flejes Acero Inoxidable 3mm  ",Hierro,138,169.37,31.37,01/21/2024,"MetalCorp Internacional"
MT-0049,"  Bobina Plomo® 4mm  ",Acero Inoxidable,789,929.08,140.08,07-09-24,"MetalSur S.A."
MT-0050,"Caño Aluminio#304 2cm",Bronce,146,209.83,63.83,06/08/2024,"SiderúrgicaUY"
AL-0051,"Barra Titanio 32cm",Hierro,604,858.92,254.92,24-06-24,"MetalSur S.A."
AC-0052,"Bobina Titanio 50cm",Titanio,82,93.3,11.3,15-01-24,"Aceros del Río"
MT-0053,"Chapa Hierro&Zinc 20mm",Bronce,55,61.07,6.07,20-12-24,"Metalúrgica Central"
MT-0054,"  Tubo Cobre 2cm  ",Titanio,51,62.61,11.61,2024-01-07,"Aleaciones del Sur"
BR-0055,"Flejes Acero Inoxidable 10cm",Cobre,766,1114.23,348.23,08/06/2024,"MetalSur S.A."
AL-0056,"Flejes Titanio 27cm",Plomo,602,686.4,84.4,10/03/2024,"Fundición Oriental"
AL-0057,"Varilla Hierro 48mm",Plomo,1021,1410.33,389.33,2024-09-10,"Aceros del Río"
AL-0058,"Chapa Aluminio 4cm",Acero Inoxidable,727,1032.98,305.98,24-10-24,"Metalúrgica Central"
AL-0059,"Flejes Cobre 7mm",Plomo,203,248.67,45.67,10/08/2024,"Aleaciones del Sur"
BR-0060,"Chapa Hierro(6061) 47mm",Níquel,208,283.16,75.16,2024-05-16,"MetalCorp Internacional"
CU-0061,"Tubo Magnesio 24mm",Hierro,,122.57,38.57%,15-01-24,"Aceros del Río"
BR-0062,"Chapa Aluminio 2cm",Zinc,100,112.64,12.64%,23/01/2024,"Industrias del Plata"
AC-0063,"Perfil Aluminio 44mm",Hierro,886,1300.91$,414.91,02-07-24,"Industrias del Plata"
AC-0064,"  Chapa Níquel 12cm  ",Níquel,983,1282.8,299.8,03/01/2024,"Aceros del Río"
AC-0065,"Perfil Hierro 3cm",Zinc,,183.54,45.54,10/06/2024,"SiderúrgicaUY"
BR-0066,"Varilla Magnesio&Zinc 43cm",Hierro,791,998.49,207.49,07/07/2024,"MetalCorp Internacional"
AC-0067,"Varilla Plomo 27mm",Cobre,726,834.65,108.65%,2024-03-26,"Industrias del Plata"
CU-0068,"Varilla Cobre 35cm",Zinc,809,1094.7,285.7,09/26/2024,"SiderúrgicaUY"
CU-0069,"Perfil Plomo 17mm",Níquel,675,935.55,260.55,13-07-24,"Metalúrgica Central"
AL-0070,"  Flejes Aluminio(6061) 14cm  ",Zinc,794,1028.81,234.81,20-03-24,"SiderúrgicaUY"
BR-0071,"  Alambre Cobre® 43cm  ",Titanio,622,819.98,197.98,10/04/2024,"Aleaciones del Sur"
CU-0072,"Chapa Titanio#304 13cm",Aluminio,665,854.84,189.84,2024-08-16,"MetalSur S.A."
MT-0073,"Flejes Plomo 22cm",Aluminio,394,583.32,189.32,13-04-24,"MetalCorp Internacional"
CU-0074,"Chapa Cobre™ 41cm",Cobre,660,950.97,290.97,04/28/2024,"Aleaciones del Sur"
AC-0075,"Plancha Aluminio 26mm",Magnesio,538,698.33,160.33,2024-08-05,"Metalúrgica Central"
AL-0076,"Bobina Níquel 16cm",Plomo,412,534.16,122.16,2024-08-12,"MetalCorp Internacional"
AL-0077,"  Flejes Cobre 14cm  ",Plomo,950,1065.28,115.28,14/03/2024,"MetalSur S.A."
CU-0078,"Perfil Magnesio 30mm",Zinc,360,467.39,107.39,09-01-24,"Fundición Oriental"
BR-0079,"Perfil Níquel 50cm",Níquel,702,928.47,226.47,2024-10-11,"SiderúrgicaUY"
AC-0080,"Alambre Magnesio 26mm",Bronce,314,368.24$,54.24,15-10-24,"MetalSur S.A."
BR-0081,"Alambre Magnesio 12cm",Titanio,390,518.48,128.48,23/04/2024,"MetalSur S.A."
MT-0082,"Alambre Plomo 26cm",Plomo,375,556.04,181.04,26-05-24,"MetalCorp Internacional"
AL-0083,"  Alambre Bronce 11cm  ",Hierro,627,711.48,84.48,2024-02-11,"Fundición Oriental"
AC-0084,"Perfil Magnesio&Zinc 48mm",Hierro,953,1398.24,445.24,12-08-24,"Fundición Oriental"
AL-0085,"Varilla Titanio 29cm",Plomo,981,1088.47,107.47,2024-01-28,"Metalúrgica Central"
AL-0086,"Bobina Aluminio 12cm",Níquel,621,865.74$,244.74,09-02-24,"Fundición Oriental"
BR-0087,"Barra Bronce® 2cm",Cobre,542,685.68,143.68,2024-03-13,"SiderúrgicaUY"
BR-0088,"Caño Titanio 19cm",Magnesio,591,850.56,259.56,09/22/2024,"Metalúrgica Central"
AL-0089,"Perfil Hierro 16cm",Cobre,301,439.92,138.92,09/22/2024,"SiderúrgicaUY"
MT-0090,"Plancha Magnesio 39cm",Níquel,233,313.77,80.77,07/08/2024,"Aceros del Río"
CU-0091,"Flejes Níquel 24cm",Níquel,705,838.95,133.95,10/21/2024,"MetalCorp Internacional"
CU-0092,"  Plancha Titanio 16cm  ",Plomo,882,1029.84,147.84,17-07-24,"SiderúrgicaUY"
AC-0093,"Barra Magnesio 44cm",Bronce,510,739.13,229.13,12/04/2024,"Fundición Oriental"
MT-0094,"Plancha Cobre 11mm",Zinc,386,549.86,163.86,2024-05-12,"Metalúrgica Central"
BR-0095,"Tubo Cobre 14cm",Zinc,473,535.21,62.21,05-01-24,"MetalCorp Internacional"
MT-0096,"Flejes Níquel#304 24mm",Aluminio,367,436.75$,69.75,2024-12-09,"MetalSur S.A."
CU-0097,"Flejes Plomo 15mm",Hierro,800,1161.64,361.64,23/02/2024,"Industrias del Plata"
AC-0098,"Perfil Cobre 10cm",Magnesio,540,797.09,257.09,13/08/2024,"Metalúrgica Central"
MT-0099,"  Bobina Hierro 14cm  ",Hierro,645,910.15,265.15,16/01/2024,"Aleaciones del Sur"
BR-0100,"  Plancha Bronce® 2cm  ",Titanio,959,1322.15,363.15,13/10/2024,"MetalCorp Internacional"
BR-0101,"Bobina Zinc 34mm",Bronce,768,1104.4,336.4,2024-05-06,"Aceros del Río"
AL-0102,"Tubo Hierro 26mm",Cobre,563,733.66,170.66,08/05/2024,"MetalSur S.A."
AL-0103,"  Alambre Bronce™ 10cm  ",Cobre,163,209.23,46.23,02/21/2024,"Aleaciones del Sur"
AL-0104,"Tubo Cobre 1cm",Zinc,866,1194.89,328.89,06-08-24,"Aceros del Río"
AL-0105,"Bobina Zinc 34cm",Cobre,726,922.21,196.21,02/19/2024,"MetalCorp Internacional"
MT-0106,"  Flejes Titanio 4cm  ",Níquel,626,922.66,296.66,06/11/2024,"Fundición Oriental"
AC-0107,"  Perfil Hierro 3cm  ",Plomo,950,1235.84,285.84,2024-11-04,"Metalúrgica Central"
BR-0108,"Alambre Plomo 27cm",Plomo,459,558.61,99.61,16-09-24,"Metalúrgica Central"
MT-0109,"Caño Níquel 43mm",Cobre,594,886.74$,292.74%,2024-09-05,"Aceros del Río"
BR-0110,"Barra Hierro® 48cm",Hierro,714,800.59,86.59,2024-08-28,"Fundición Oriental"
AL-0111,"Tubo Acero Inoxidable 6mm",Magnesio,756,947.88,191.88,27-11-24,"MetalCorp Internacional"
AC-0112,"Alambre Níquel 35mm",Hierro,454,613.91,159.91%,18/11/2024,"SiderúrgicaUY"
AC-0113,"Varilla Hierro 16cm",Cobre,237,303.14,66.14,12/21/2024,"Industrias del Plata"
BR-0114,"Chapa Aluminio 20mm",Aluminio,669,955.36,286.36,13-11-24,"MetalSur S.A."
MT-0115,"  Flejes Cobre#304 30cm  ",Aluminio,779,1154.47,375.47,03/09/2024,"Industrias del Plata"
AL-0116,"Alambre Acero Inoxidable 45mm",Aluminio,745,1105.74,360.74,01/28/2024,"MetalSur S.A."
BR-0117,"Plancha Magnesio 23mm",Bronce,1015,1286.61,271.61,2024-02-19,"MetalCorp Internacional"
AC-0118,"Caño Titanio 4mm",Zinc,627,798.99,171.99,06/01/2024,"Industrias del Plata"
CU-0119,"  Tubo Hierro 25cm  ",Zinc,675,858.3,183.3,11/22/2024,"SiderúrgicaUY"
BR-0120,"Varilla Plomo® 5mm",Níquel,1025,1320.81,295.81,06/09/2024,"Aleaciones del Sur"
BR-0121,"Perfil Zinc™ 20cm",Aluminio,336,436.27,100.27%,24/04/2024,"Metalúrgica Central"
MT-0122,"Bobina Acero Inoxidable 49cm",Aluminio,381,506,125,04/26/2024,"Aleaciones del Sur"
AL-0123,"Alambre Plomo 25cm",Zinc,162,197.18,35.18,01-07-24,"Aceros del Río"
BR-0124,"  Tubo Plomo 23cm  ",Titanio,494,621.54,127.54,22/05/2024,"Aceros del Río"
AL-0125,"Plancha Plomo™ 44cm",Níquel,310,397.29,87.29,01/04/2024,"MetalSur S.A."
BR-0126,"Flejes Cobre 43cm",,673,832.72,159.72,21-03-24,"Aleaciones del Sur"
AL-0127,"  Caño Níquel 25cm  ",Titanio,242,267.04,25.04,15/07/2024,"MetalCorp Internacional"
AC-0128,"Flejes Hierro 33mm",Aluminio,496,685.8,189.8,19-11-24,"Fundición Oriental"
AL-0129,"Perfil Titanio 44mm",Bronce,278,338.16,60.16,26/10/2024,"Metalúrgica Central"
CU-0130,"Bobina Acero Inoxidable 39cm",Aluminio,264,389.63,125.63,07/13/2024,"Metalúrgica Central"
BR-0131,"Barra Zinc 6mm",Zinc,450,606.31,156.31,2024-11-06,"SiderúrgicaUY"
CU-0132,"Chapa Titanio 18mm",Acero Inoxidable,396,561.51,165.51,16/02/2024,"Metalúrgica Central"
MT-0133,"Caño Titanio 28cm",Níquel,373,484.66,111.66,21-07-24,"Fundición Oriental"
BR-0134,"Alambre Aluminio 22mm",Cobre,575,682.56$,107.56%,16/02/2024,"Aleaciones del Sur"
AC-0135,"Chapa Aluminio(6061) 46cm",Hierro,680,820.24,140.24,2024-11-16,"MetalCorp Internacional"
AL-0136,"  Alambre Magnesio#304 27mm  ",Acero Inoxidable,208,244.39,36.39,02-09-24,"Metalúrgica Central"
MT-0137,"Barra Hierro(6061) 34mm",Níquel,189,251.36,62.36,27/03/2024,"Aceros del Río"
BR-0138,"Chapa Magnesio 32mm",Magnesio,,788.1,163.1%,10-02-24,"Aleaciones del Sur"
CU-0139,"Flejes Bronce 29mm",Hierro,57,83.59,26.59,18-10-24,"Fundición Oriental"
CU-0140,"Plancha Bronce 32cm",Plomo,,826.41,223.41,2024-04-02,"Metalúrgica Central"
AL-0141,"  Perfil Plomo 43mm  ",Bronce,546,813.64,267.64,2024-08-12,"Aleaciones del Sur"
AL-0142,"Flejes Magnesio 43mm",Bronce,91,120.4,29.4,21/10/2024,"MetalCorp Internacional"
MT-0143,"Plancha Níquel 12cm",Zinc,402,563.08,161.08,2024-07-22,"Fundición Oriental"
AC-0144,"Flejes Cobre 36cm",Zinc,707,925.66,218.66,25/07/2024,"Fundición Oriental"
MT-0145,"Tubo Níquel 18mm",Titanio,111,151.82,40.82,06/12/2024,"MetalCorp Internacional"
AC-0146,"Perfil Hierro 4cm",Magnesio,988,1432.07,444.07,11-04-24,"MetalCorp Internacional"
MT-0147,"Chapa Plomo™ 46mm",Níquel,510,691.88,181.88,08/11/2024,"Aceros del Río"
CU-0148,"Bobina Bronce 16cm",Magnesio,215,277.9,62.9,09/09/2024,"SiderúrgicaUY"
AL-0149,"Caño Magnesio#304 17mm",Titanio,271,378.99,107.99,01/13/2024,"Aceros del Río"
AL-0150,"Chapa Plomo 23cm",Titanio,247,298.93,51.93,01/13/2024,"SiderúrgicaUY"
AL-0151,"Caño Titanio(6061) 40mm",Magnesio,915,1335.33,420.33,01/17/2024,"SiderúrgicaUY"
AC-0152,"Perfil Níquel 13cm",Níquel,130,186.4,56.4,15-06-24,"MetalCorp Internacional"
AC-0153,"Barra Hierro 12mm",Aluminio,174,220.58,46.58,24/11/2024,"Fundición Oriental"
AL-0154,"Flejes Titanio 32cm",Aluminio,938,1206.57,268.57,11/16/2024,"MetalCorp Internacional"
BR-0155,"Barra Cobre 8cm",Bronce,961,1072.18,111.18,03/17/2024,"MetalSur S.A."
CU-0156,"Tubo Magnesio 8cm",Bronce,159,208.09,49.09,05/08/2024,"SiderúrgicaUY"
MT-0157,"Alambre Magnesio® 22cm",Magnesio,657,976.65,319.65,01-06-24,"Industrias del Plata"
MT-0158,"Perfil Titanio 23cm",Zinc,704,1026.91$,322.91,10/16/2024,"Fundición Oriental"
MT-0159,"Varilla Zinc&Zinc 2cm",Aluminio,454,673.53,219.53,04/23/2024,"Fundición Oriental"
AL-0160,"Perfil Plomo 18cm",Aluminio,490,586.99,96.99,2024-03-28,"SiderúrgicaUY"
MT-0161,"  Flejes Níquel 35mm  ",Magnesio,391,573.52,182.52,02/04/2024,"Aceros del Río"
MT-0162,"Barra Acero Inoxidable 2cm",Plomo,756,868.5,112.5,2024-08-14,"Aceros del Río"
AL-0163,"Bobina Zinc 41cm",Níquel,882,1106.22,224.22,11/13/2024,"Aleaciones del Sur"
AL-0164,"Bobina Zinc 50cm",Magnesio,171,224.61,53.61,06-12-24,"MetalCorp Internacional"
CU-0165,"Caño Bronce 16mm",Plomo,200,221.26,21.26,19-10-24,"Fundición Oriental"
CU-0166,"  Flejes Níquel 45cm  ",Aluminio,67,95.58,28.58,22/04/2024,"SiderúrgicaUY"
BR-0167,"Caño Hierro 16mm",Titanio,,84.89,18.89,25/06/2024,"Aceros del Río"
BR-0168,"Plancha Zinc 31cm",Aluminio,801,885.6,84.6%,01/04/2024,"Aceros del Río"
BR-0169,"Plancha Titanio 49cm",Titanio,523,597.07,74.07,16/01/2024,"SiderúrgicaUY"
AL-0170,"Alambre Plomo 27mm",Cobre,699,933.41$,234.41%,17/04/2024,"MetalSur S.A."
AL-0171,"Tubo Aluminio 13mm",Bronce,1003,1327.85,324.85,2024-04-26,"Fundición Oriental"
MT-0172,"Perfil Níquel 35cm",Zinc,250,324.33,74.33,2024-05-14,"MetalCorp Internacional"
AL-0173,"Tubo Bronce(6061) 33mm",Zinc,208,251.44,43.44,03/12/2024,"Fundición Oriental"
CU-0174,"Caño Zinc 5cm",Cobre,93,136.73,43.73,14-02-24,"Industrias del Plata"
AC-0175,"Caño Titanio 3cm",Cobre,377,432.3,55.3,18-03-24,"Aleaciones del Sur"
CU-0176,"Bobina Cobre&Zinc 2cm",Acero Inoxidable,780,898.14,118.14,2024-02-17,"Metalúrgica Central"
CU-0177,"Tubo Zinc 33cm",Acero Inoxidable,863,1181.23,318.23,01/10/2024,"Metalúrgica Central"
AL-0178,"Varilla Cobre 7cm",Plomo,844,1178.92,334.92,2024-11-17,"Metalúrgica Central"
BR-0179,"Caño Magnesio 27mm",Bronce,306,356.51,50.51,2024-07-26,"Metalúrgica Central"
AL-0180,"Alambre Bronce 22cm",Aluminio,502,636.21,134.21,2024-07-27,"Aleaciones del Sur"
MT-0181,"Alambre Bronce 44mm",Titanio,673,998.66$,325.66,09-07-24,"MetalCorp Internacional"
BR-0182,"Plancha Acero Inoxidable 34cm",Hierro,,657.82,186.82,08/05/2024,"SiderúrgicaUY"
BR-0183,"Flejes Aluminio 25cm",Acero Inoxidable,287,318.69,31.69,08/19/2024,"Metalúrgica Central"
MT-0184,"Barra Zinc 9cm",Magnesio,,876.23,267.23,22-01-24,"Aleaciones del Sur"
MT-0185,"  Alambre Titanio 8mm  ",Plomo,,436.45,134.45,2024-12-17,"MetalSur S.A."
AC-0186,"Bobina Zinc 33cm",Plomo,569,829.37,260.37,17-02-24,"Metalúrgica Central"
MT-0187,"Bobina Cobre 48cm",,984,1416.21,432.21,2024-09-04,"Aleaciones del Sur"
MT-0188,"Alambre Hierro 45cm",Aluminio,,881.72,122.72,19-02-24,"Fundición Oriental"
CU-0189,"Perfil Magnesio™ 42mm",Magnesio,419,523.58,104.58,15-12-24,"Industrias del Plata"
MT-0190,"Bobina Cobre#304 15mm",Magnesio,527,630.12,103.12,2024-11-13,"MetalCorp Internacional"
CU-0191,"Chapa Magnesio&Zinc 47mm",Magnesio,938,1126.36$,188.36,10/03/2024,"Fundición Oriental"
AC-0192,"Bobina Acero Inoxidable 12cm",Magnesio,228,324.25,96.25,15-07-24,"MetalCorp Internacional"
BR-0193,"  Barra Magnesio 28mm  ",Hierro,716,967.84,251.84,02/15/2024,"SiderúrgicaUY"
AC-0194,"  Perfil Aluminio 30cm  ",Aluminio,300,366.49,66.49,06-10-24,"MetalSur S.A."
MT-0195,"Chapa Cobre 26cm",Zinc,731,832.57,101.57,25-12-24,"Aleaciones del Sur"
BR-0196,"  Flejes Bronce 46cm  ",Acero Inoxidable,240,299.22,59.22,07-11-24,"SiderúrgicaUY"
AL-0197,"Chapa Hierro 48cm",Magnesio,317,462.71$,145.71,03/25/2024,"SiderúrgicaUY"
AC-0198,"Caño Titanio™ 19cm",Aluminio,183,243.79,60.79,21/07/2024,"SiderúrgicaUY"
CU-0199,"Barra Cobre(6061) 48cm",Plomo,232,257.07,25.07,10/22/2024,"MetalSur S.A."
AC-0200,"Chapa Níquel 7cm",Zinc,419,551.1$,132.1,2024-05-15,"SiderúrgicaUY"
CU-0201,"Alambre Acero Inoxidable 13cm",Titanio,,784.4,76.4,22/03/2024,"Aleaciones del Sur"
MT-0202,"Varilla Hierro 50mm",Níquel,581,727.34$,146.34,13/07/2024,"Aleaciones del Sur"
AL-0203,"Barra Acero Inoxidable 11mm",Cobre,183,230.44,47.44,2024-04-03,"MetalCorp Internacional"
MT-0204,"Perfil Titanio 39cm",Níquel,995,1333.39$,338.39,09/04/2024,"MetalCorp Internacional"
CU-0205,"Varilla Bronce(6061) 24mm",Hierro,870,990.77,120.77,08/13/2024,"MetalCorp Internacional"
AC-0206,"Varilla Plomo 44cm",Cobre,836,1233.78,397.78,11-02-24,"MetalSur S.A."
BR-0207,"Barra Zinc 16mm",Acero Inoxidable,676,850.4,174.4,2024-03-07,"Aceros del Río"
BR-0208,"Barra Cobre 14mm",Titanio,413,487.18,74.18,22/11/2024,"Industrias del Plata"
MT-0209,"Caño Titanio&Zinc 36mm",Acero Inoxidable,759,895.13,136.13,2024-09-28,"MetalCorp Internacional"
AL-0210,"Barra Aluminio 18cm",Níquel,669,798.36,129.36,2024-05-18,"Aceros del Río"
MT-0211,"Flejes Hierro 35mm",Hierro,1049,1409.14,360.14,2024-09-03,"MetalCorp Internacional"
AC-0212,"Plancha Magnesio 1mm",Cobre,58,68.39,10.39,09/08/2024,"MetalSur S.A."
MT-0213,"Perfil Magnesio 40mm",Titanio,704,1042.49,338.49,2024-02-28,"Aceros del Río"
AC-0214,"Barra Zinc™ 4cm",Magnesio,,868.01,217.01,04/01/2024,"Metalúrgica Central"
MT-0215,"Alambre Magnesio 36mm",Acero Inoxidable,396,550.2,154.2,2024-07-28,"MetalCorp Internacional"
BR-0216,"Caño Níquel™ 43mm",Acero Inoxidable,169,199.35,30.35,04/28/2024,"MetalCorp Internacional"
AL-0217,"Plancha Zinc 8mm",Plomo,776,880.65,104.65,2024-08-18,"SiderúrgicaUY"
AC-0218,"Perfil Acero Inoxidable 43cm",Aluminio,104,135.61,31.61,09/07/2024,"Industrias del Plata"
AL-0219,"Tubo Plomo 25cm",Zinc,390,554.32,164.32,09-05-24,"Metalúrgica Central"
BR-0220,"Barra Magnesio 31mm",Magnesio,972,1187.57,215.57,13/08/2024,"SiderúrgicaUY"
AC-0221,"Perfil Cobre™ 38mm",Hierro,152,183.72,31.72,2024-08-11,"SiderúrgicaUY"
AL-0222,"Barra Titanio 21cm",Níquel,930,1342.03,412.03,22-07-24,"SiderúrgicaUY"
AC-0223,"Flejes Zinc 36mm",Zinc,306,357.98,51.98,05/01/2024,"Industrias del Plata"
AL-0224,"Plancha Acero Inoxidable® 45mm",Aluminio,879,1123.75,244.75,08/09/2024,"MetalSur S.A."
AL-0225,"Bobina Aluminio 7cm",Níquel,,481.19,142.19,2024-05-24,"MetalCorp Internacional"
MT-0226,"Caño Aluminio&Zinc 40cm",Aluminio,977,1328.49,351.49,25/07/2024,"Aceros del Río"
BR-0227,"Plancha Aluminio 44mm",Bronce,156,228.42,72.42,16/07/2024,"MetalCorp Internacional"
MT-0228,"Perfil Cobre&Zinc 43mm",Titanio,1009,1272.42,263.42,24-07-24,"SiderúrgicaUY"
AL-0229,"  Barra Aluminio 32mm  ",Titanio,348,391.17,43.17,2024-11-15,"Metalúrgica Central"
MT-0230,"Alambre Cobre 7mm",Aluminio,307,407.46,100.46,18-09-24,"Metalúrgica Central"
CU-0231,"Flejes Níquel 38cm",Titanio,559,665.27,106.27,10/21/2024,"Aceros del Río"
MT-0232,"Tubo Plomo#304 37cm",Bronce,612,875.52,263.52%,2024-09-04,"Fundición Oriental"
AC-0233,"Perfil Acero Inoxidable 34cm",Acero Inoxidable,693,884.76,191.76,10/28/2024,"Aceros del Río"
AC-0234,"Barra Aluminio® 33cm",Magnesio,746,863.42,117.42,06/04/2024,"Fundición Oriental"
BR-0235,"Varilla Zinc™ 33cm",Cobre,467,663.37,196.37,19-08-24,"Aleaciones del Sur"
AC-0236,"Alambre Níquel 4mm",Zinc,774,1011.61,237.61,05/02/2024,"Metalúrgica Central"
CU-0237,"Bobina Titanio 9mm",Aluminio,146,195.13,49.13,12/01/2024,"SiderúrgicaUY"
MT-0238,"Varilla Aluminio 38cm",,593,751.17,158.17,2024-01-19,"MetalSur S.A."
BR-0239,"  Perfil Hierro#304 39mm  ",Cobre,600,885.19$,285.19,2024-12-24,"SiderúrgicaUY"
CU-0240,"Perfil Acero Inoxidable 28mm",Níquel,92,137.49,45.49,2024-02-02,"Aceros del Río"
AC-0241,"Varilla Zinc 36cm",Titanio,187,214.47,27.47,20/01/2024,"Metalúrgica Central"
CU-0242,"  Varilla Zinc 41cm  ",Plomo,,661.87,202.87,27/10/2024,"Aleaciones del Sur"
BR-0243,"Tubo Cobre 45cm",Aluminio,984,1388.38,404.38,09/05/2024,"Aceros del Río"
BR-0244,"Plancha Bronce 35mm",Níquel,900,1204.99,304.99,19-05-24,"MetalSur S.A."
CU-0245,"Alambre Cobre™ 27mm",Cobre,799,1138.49,339.49,2024-12-26,"Metalúrgica Central"
MT-0246,"Caño Titanio 45mm",Magnesio,994,1187.19,193.19,13-09-24,"MetalSur S.A."
MT-0247,"Alambre Cobre 40mm",Acero Inoxidable,378,465.08,87.08,2024-07-28,"Fundición Oriental"
CU-0248,"Tubo Titanio 15cm",Acero Inoxidable,924,1131.75,207.75,16-03-24,"SiderúrgicaUY"
